0xea002154: 0x00000000 (SECRR54P4)
0xea002158: 0xa0809000 (SECRR58P4)
0xea002288: 0x5580983a (SECRT88P5)
0xea00228c: 0x0c802046 (SECRT8CP5)
0xea002290: 0x2b3e4c5a (SECRT90P5)
0xea002298: 0x1f203b41 (SECRT98P5)
0xea00231c: 0x00001810 (SECRR1CP5)
0xea002350: 0x023f3f3f (SECRR50P5)
0xea002354: 0x00020000 (SECRR54P5)
0xea002358: 0xa0809000 (SECRR58P5)
0xea008100: 0x7880fffc (SECRF00)
0xea008104: 0x69777888 (SECRF04)
0xe5004100: 0x00059e01 (U2ECRP01)
0xe5004200: 0x00059e01 (U2ECRP02)
0xe5004300: 0x00059501 (U2ECRP03)
0xe5004400: 0x00059401 (U2ECRP04)
0xe5004500: 0x00059601 (U2ECRP05)
0xe5004600: 0x00059501 (U2ECRP06)
0xe5004700: 0x00059501 (U2ECRP07)
0xe5004800: 0x00059501 (U2ECRP08)
0xe5004900: 0x00059e01 (U2ECRP09)
0xe5004a00: 0x00059e01 (U2ECRP10)
0xe5004b00: 0x00059601 (U2ECRP11)
0xe5004c00: 0x00059601 (U2ECRP12)
0xe5004d00: 0x00059601 (U2ECRP13)
0xe5004e00: 0x00059601 (U2ECRP14)
0xe900175c: 0x80889090 ()
0xe9001760: 0x00000000 ()
0xe9001768: 0xba004a2a ()
0xe9001770: 0x00000020 ()
0xe90017cc: 0x38255707 ()
0xe900155c: 0x80889090 ()
0xe9001560: 0x00000000 ()
0xe9001568: 0xba004a2a ()
0xe9001570: 0x00000020 ()
0xe90015cc: 0x38255707 ()
0xe9002f5c: 0x80889090 ()
0xe9002f60: 0x00000000 ()
0xe9002f68: 0xba004a2a ()
0xe9002f70: 0x00000020 ()
0xe9002fcc: 0x38255707 ()
0xe9002d5c: 0x80889090 ()
0xe9002d60: 0x00000000 ()
0xe9002d68: 0xbb004822 ()
0xe9002d70: 0x00000030 ()
0xe9002dcc: 0x38254304 ()
0xe900335c: 0x80889090 ()
0xe9003360: 0x00000000 ()
0xe9003368: 0xba004a2a ()
0xe9003370: 0x00000020 ()
0xe90033cc: 0x38255707 ()
0xe900315c: 0x80889090 ()
0xe9003160: 0x00000000 ()
0xe9003168: 0xba004a2a ()
0xe9003170: 0x00000020 ()
0xe90031cc: 0x38255707 ()



========== ACPI/PMC =========


========== ABASE/PMBASE =========

PMBASE = 0x1800 (IO)

pmbase+0x0000: 0x0001     (PM1_STS)
pmbase+0x0002: 0x0120     (PM1_EN)
pmbase+0x0004: 0x00000001 (PM1_CNT)
pmbase+0x0008: 0x00f17d26 (PM1_TMR)
pmbase+0x000c: 0x00000000 (RESERVED)
pmbase+0x0010: 0x00000000 (RESERVED)
pmbase+0x0014: 0x00000000 (RESERVED)
pmbase+0x0018: 0x00000000 (RESERVED)
pmbase+0x001c: 0x00000000 (RESERVED)
pmbase+0x0020: 0x8ec80000 (GPE0_STS)
               0x39000000
pmbase+0x0028: 0x01092242 (GPE0_EN)
               0x00000000
pmbase+0x0030: 0x80022023 (SMI_EN)
pmbase+0x0034: 0x00004100 (SMI_STS)
pmbase+0x0038: 0x4000     (ALT_GP_SMI_EN)
pmbase+0x003a: 0x8ec9     (ALT_GP_SMI_STS)
pmbase+0x003c: 0x00       (UPRWC)
pmbase+0x003d: 0x01       (RESERVED)
